trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,display_gratings.started,stim_grayScreen.started,stim_grating.started,display_gratings.stopped,Protocol ID,Subject ID,Session ID,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.030996300047263503,,0.02026680007111281,0.030996300047263503,3.068375900038518,5.000678900047205,devJG,01,01,2024-07-15_15h58.10.267,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 15h58.15.715764 -0400,
1,0,1,0,5.012731800088659,,5.000810800003819,5.012731800088659,8.247662600013427,11.13258960004896,devJG,01,01,2024-07-15_15h58.10.267,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 15h58.15.715764 -0400,
2,0,2,0,11.148144799983129,,11.132715200074017,11.148144799983129,13.015502800000831,15.000893500051461,devJG,01,01,2024-07-15_15h58.10.267,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 15h58.15.715764 -0400,
3,0,3,0,15.014375800034031,,15.001018200069666,15.014375800034031,,21.86565450008493,devJG,01,01,2024-07-15_15h58.10.267,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 15h58.15.715764 -0400,
4,0,4,0,21.8804462000262,,21.865778500097804,21.8804462000262,23.01549470005557,25.01636440004222,devJG,01,01,2024-07-15_15h58.10.267,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 15h58.15.715764 -0400,
5,0,5,0,25.030176700092852,,25.016486200038344,25.030176700092852,28.015826800023206,30.016856500064023,devJG,01,01,2024-07-15_15h58.10.267,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 15h58.15.715764 -0400,
6,0,6,0,30.03040879999753,,30.0169779000571,30.03040879999753,33.016233000089414,35.00070870004129,devJG,01,01,2024-07-15_15h58.10.267,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 15h58.15.715764 -0400,
7,0,7,0,35.014761900063604,,35.0008313000435,35.014761900063604,38.0158954000799,40.00038099999074,devJG,01,01,2024-07-15_15h58.10.267,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 15h58.15.715764 -0400,
8,0,8,0,40.01432760001626,,40.00050319998991,40.01432760001626,43.01554020005278,45.00102840003092,devJG,01,01,2024-07-15_15h58.10.267,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 15h58.15.715764 -0400,
9,0,9,0,45.0154628000455,,45.001164000015706,45.0154628000455,48.015887600020505,50.000396999996156,devJG,01,01,2024-07-15_15h58.10.267,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 15h58.15.715764 -0400,
