trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp_start.started,nidaqTrigger.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,display_gratings.stopped,Protocol ID,Subject ID,Session ID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.016113399993628263,0.028994400054216385,0.028994400054216385,3.3811883999733254,space,3.3352799999993294,None,,,,,devJG,01,01,2024-07-15_18h44.38.763,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 18h44.42.301691 -0400,
0,0,0,0,3.515005800058134,,,,,,,,,3.4361319000599906,3.515005800058134,6.446942100068554,8.448110700002871,devJG,01,01,2024-07-15_18h44.38.763,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 18h44.42.301691 -0400,
1,0,1,0,8.46407550002914,,,,,,,,,8.448245899984613,8.46407550002914,11.446206200052984,13.447484300006181,devJG,01,01,2024-07-15_18h44.38.763,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 18h44.42.301691 -0400,
2,0,2,0,13.461860200040974,,,,,,,,,13.44763030007016,13.461860200040974,16.446379599976353,18.44834870006889,devJG,01,01,2024-07-15_18h44.38.763,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 18h44.42.301691 -0400,
3,0,3,0,18.462544700014405,,,,,,,,,18.44847609999124,18.462544700014405,21.44710650003981,23.448549800086766,devJG,01,01,2024-07-15_18h44.38.763,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 18h44.42.301691 -0400,
4,0,4,0,23.46260389999952,,,,,,,,,23.448698400054127,23.46260389999952,26.44720980001148,28.448713900055736,devJG,01,01,2024-07-15_18h44.38.763,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 18h44.42.301691 -0400,
5,0,5,0,28.46327339997515,,,,,,,,,28.44883920007851,28.46327339997515,31.44774299999699,33.44894180004485,devJG,01,01,2024-07-15_18h44.38.763,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 18h44.42.301691 -0400,
6,0,6,0,33.4631521999836,,,,,,,,,33.449073900002986,33.4631521999836,36.447737400070764,38.44948359997943,devJG,01,01,2024-07-15_18h44.38.763,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 18h44.42.301691 -0400,
7,0,7,0,38.46355590003077,,,,,,,,,38.44960639998317,38.46355590003077,41.44804400007706,43.449512500083074,devJG,01,01,2024-07-15_18h44.38.763,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 18h44.42.301691 -0400,
8,0,8,0,43.46361900004558,,,,,,,,,43.449636699981056,43.46361900004558,46.44866080000065,48.449649100075476,devJG,01,01,2024-07-15_18h44.38.763,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 18h44.42.301691 -0400,
9,0,9,0,48.46404570003506,,,,,,,,,48.449783400050364,48.46404570003506,51.448543500038795,53.44981350004673,devJG,01,01,2024-07-15_18h44.38.763,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 18h44.42.301691 -0400,
