trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp_start.started,nidaqTrigger.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,display_gratings.stopped,stim_grayScreen.stopped,stim_grating.stopped,Protocol ID,Subject ID,Session ID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.014338100096210837,0.02712660003453493,0.02712660003453493,10.830708699999377,space,10.800989700015634,None,,,,,,,devJG,01,01,2024-07-15_19h44.12.954,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 19h52.23.686747 -0400,
0,0,0,0,11.069447600049898,,,,,,,,,10.980675700004213,11.069447600049898,13.979770600097254,15.984489900059998,,,devJG,01,01,2024-07-15_19h44.12.954,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 19h52.23.686747 -0400,
1,0,1,0,15.995097500039265,,,,,,,,,15.984616800094955,15.995097500039265,18.99389320006594,20.97867970005609,20.99299030005932,20.99299030005932,devJG,01,01,2024-07-15_19h44.12.954,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 19h52.23.686747 -0400,
2,0,2,0,20.99299030005932,,,,,,,,,20.978801000048406,20.99299030005932,23.994241900043562,25.979698000010103,25.993694700067863,25.993694700067863,devJG,01,01,2024-07-15_19h44.12.954,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 19h52.23.686747 -0400,
3,0,3,0,25.993694700067863,,,,,,,,,25.979832000099123,25.993694700067863,28.99432650010567,30.97948700003326,30.993650200078264,30.993650200078264,devJG,01,01,2024-07-15_19h44.12.954,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 19h52.23.686747 -0400,
4,0,4,0,30.993650200078264,,,,,,,,,30.979647800093517,30.993650200078264,33.99459880008362,35.97995850001462,,,devJG,01,01,2024-07-15_19h44.12.954,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 19h52.23.686747 -0400,
5,0,5,0,35.994057000032626,,,,,,,,,35.98011670005508,35.994057000032626,38.99484930001199,40.98084180010483,,,devJG,01,01,2024-07-15_19h44.12.954,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 19h52.23.686747 -0400,
6,0,6,0,40.994747500051744,,,,,,,,,40.981030600029044,40.994747500051744,43.99566190002952,45.98082870000508,,,devJG,01,01,2024-07-15_19h44.12.954,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 19h52.23.686747 -0400,
7,0,7,0,45.994522700086236,,,,,,,,,45.981015800032765,45.994522700086236,48.99554990010802,50.98076950001996,,,devJG,01,01,2024-07-15_19h44.12.954,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 19h52.23.686747 -0400,
8,0,8,0,50.99702580005396,,,,,,,,,50.98094530007802,50.99702580005396,53.99610100011341,55.98045400006231,,,devJG,01,01,2024-07-15_19h44.12.954,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 19h52.23.686747 -0400,
9,0,9,0,55.994819700019434,,,,,,,,,55.980586800025776,55.994819700019434,58.996112600085326,60.98130240000319,,,devJG,01,01,2024-07-15_19h44.12.954,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-15 19h52.23.686747 -0400,
