trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp_start.started,nidaqTrigger.stopped,key_resp_start.keys,key_resp_start.rt,key_resp_start.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,display_gratings.stopped,encoder_data,Protocol ID,Subject ID,Session ID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.02072620007675141,0.03940810007043183,0.03940810007043183,12.637327300035395,space,12.584714199998416,None,,,,,,devJG,01,01,2024-07-16_14h14.32.078,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 14h14.38.595654 -0400,
0,0,0,0,12.949947800021619,,,,,,,,,12.82143430004362,12.949947800021619,15.910318300011568,19.819887700024992,,devJG,01,01,2024-07-16_14h14.32.078,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 14h14.38.595654 -0400,
1,0,1,0,19.872108600102365,,,,,,,,,19.82001250004396,19.872108600102365,20.9193100000266,22.837577900034375,,devJG,01,01,2024-07-16_14h14.32.078,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 14h14.38.595654 -0400,
2,0,2,0,22.89244470000267,,,,,,,,,22.83776960009709,22.89244470000267,25.902898300089873,27.86753510008566,,devJG,01,01,2024-07-16_14h14.32.078,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 14h14.38.595654 -0400,
3,0,3,0,27.92387840000447,,,,,,,,,27.8677672999911,27.92387840000447,30.87607180001214,32.84933970007114,,devJG,01,01,2024-07-16_14h14.32.078,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 14h14.38.595654 -0400,
4,0,4,0,32.90487570001278,,,,,,,,,32.84959650004748,32.90487570001278,35.91941490001045,37.89036560000386,,devJG,01,01,2024-07-16_14h14.32.078,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 14h14.38.595654 -0400,
5,0,5,0,37.94647030008491,,,,,,,,,37.89066320005804,37.94647030008491,40.90716120006982,42.87732249998953,,devJG,01,01,2024-07-16_14h14.32.078,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 14h14.38.595654 -0400,
6,0,6,0,42.933416000101715,,,,,,,,,42.877618100028485,42.933416000101715,45.879742400022224,49.1050804000115,,devJG,01,01,2024-07-16_14h14.32.078,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 14h14.38.595654 -0400,
7,0,7,0,49.157101300079376,,,,,,,,,49.10526250000112,49.157101300079376,50.90390760009177,52.84457590000238,,devJG,01,01,2024-07-16_14h14.32.078,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 14h14.38.595654 -0400,
8,0,8,0,52.90289870009292,,,,,,,,,52.844754700083286,52.90289870009292,55.89274290006142,57.8436323000351,,devJG,01,01,2024-07-16_14h14.32.078,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 14h14.38.595654 -0400,
9,0,9,0,57.89692200010177,,,,,,,,,57.84376110008452,57.89692200010177,60.877191000035964,62.84644059999846,,devJG,01,01,2024-07-16_14h14.32.078,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 14h14.38.595654 -0400,
,,,,,,,,,,,,,,,,,[],,,,,,,,,
