trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp.started,nidaqTrigger.stopped,key_resp.keys,key_resp.rt,key_resp.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,display_gratings.stopped,Protocol ID,Subject ID,Session ID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.01784770004451275,0.0353645000141114,0.0353645000141114,5.306713199999649,left,5.270378499990329,None,,,,,devJG,01,01,2024-07-16_15h36.35.895,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 15h36.39.627875 -0400,
0,0,0,0,5.322600300016347,,,,,,,,,5.307034500001464,5.322600300016347,8.308459100022446,10.312398200039752,devJG,01,01,2024-07-16_15h36.35.895,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 15h36.39.627875 -0400,
1,0,1,0,10.325866800034419,,,,,,,,,10.31263590004528,10.325866800034419,13.313040800043382,15.316531400021631,devJG,01,01,2024-07-16_15h36.35.895,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 15h36.39.627875 -0400,
2,0,2,0,15.329914400004782,,,,,,,,,15.316765399998985,15.329914400004782,18.316926400002558,20.321492700022645,devJG,01,01,2024-07-16_15h36.35.895,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 15h36.39.627875 -0400,
3,0,3,0,20.33416940004099,,,,,,,,,20.32172740000533,20.33416940004099,23.32060159998946,25.307819000037853,devJG,01,01,2024-07-16_15h36.35.895,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 15h36.39.627875 -0400,
4,0,4,0,25.321423900022637,,,,,,,,,25.308044800010975,25.321423900022637,28.307859599997755,30.311981500010006,devJG,01,01,2024-07-16_15h36.35.895,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 15h36.39.627875 -0400,
5,0,5,0,30.32537480001338,,,,,,,,,30.312216999998782,30.32537480001338,33.31236089998856,35.31582940003136,devJG,01,01,2024-07-16_15h36.35.895,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 15h36.39.627875 -0400,
6,0,6,0,35.32935000001453,,,,,,,,,35.316063400008716,35.32935000001453,38.31634760001907,40.31998980004573,devJG,01,01,2024-07-16_15h36.35.895,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 15h36.39.627875 -0400,
7,0,7,0,40.33343210001476,,,,,,,,,40.320226999989245,40.33343210001476,43.32039500004612,45.30756770004518,devJG,01,01,2024-07-16_15h36.35.895,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 15h36.39.627875 -0400,
8,0,8,0,45.32112020003842,,,,,,,,,45.30782899999758,45.32112020003842,48.30755800002953,50.31191360001685,devJG,01,01,2024-07-16_15h36.35.895,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 15h36.39.627875 -0400,
9,0,9,0,50.3249256000272,,,,,,,,,50.31215330003761,50.3249256000272,53.31154800002696,55.3156725000008,devJG,01,01,2024-07-16_15h36.35.895,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 15h36.39.627875 -0400,
