trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp.started,nidaqTrigger.stopped,key_resp.keys,key_resp.rt,key_resp.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,stim_grayScreen.stopped,stim_grating.stopped,display_gratings.stopped,encoder_data,Protocol ID,Subject ID,Session ID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.017156199959572405,0.033742900006473064,0.033742900006473064,18.006066199974157,left,17.95526079996489,None,,,,,,,,devJG,01,01,2024-07-16_15h58.59.452,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 15h59.03.433150 -0400,
0,0,0,0,18.017110599961597,,,,,,,,,18.007004699960817,18.017110599961597,21.017872800002806,23.018175199977122,23.018175199977122,23.00376920000417,,devJG,01,01,2024-07-16_15h58.59.452,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 15h59.03.433150 -0400,
1,0,1,0,23.018175199977122,,,,,,,,,23.003893699962646,23.018175199977122,26.022045799996704,,,28.01110719999997,,devJG,01,01,2024-07-16_15h58.59.452,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 15h59.03.433150 -0400,
2,0,2,0,28.022671399987303,,,,,,,,,28.011390800005756,28.022671399987303,31.008967600006144,,,33.011572499992326,,devJG,01,01,2024-07-16_15h58.59.452,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 15h59.03.433150 -0400,
3,0,3,0,33.026425099989865,,,,,,,,,33.01169919996755,33.026425099989865,36.01331419998314,,,38.01889669999946,,devJG,01,01,2024-07-16_15h58.59.452,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 15h59.03.433150 -0400,
4,0,4,0,38.03063799999654,,,,,,,,,38.01915770000778,38.03063799999654,41.017641699989326,,,43.02205709996633,,devJG,01,01,2024-07-16_15h58.59.452,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 15h59.03.433150 -0400,
5,0,5,0,43.034692999965046,,,,,,,,,43.02229389996501,43.034692999965046,46.02173719997518,,,48.00888469995698,,devJG,01,01,2024-07-16_15h58.59.452,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 15h59.03.433150 -0400,
6,0,6,0,48.02203819999704,,,,,,,,,48.00910369999474,48.02203819999704,51.00875519996043,,,53.01133229996776,,devJG,01,01,2024-07-16_15h58.59.452,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 15h59.03.433150 -0400,
7,0,7,0,53.02603889995953,,,,,,,,,53.01155940000899,53.02603889995953,56.01329119998263,,,58.01523009996163,,devJG,01,01,2024-07-16_15h58.59.452,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 15h59.03.433150 -0400,
8,0,8,0,58.03007819998311,,,,,,,,,58.01535419997526,58.03007819998311,61.01703200000338,,,63.02077369997278,,devJG,01,01,2024-07-16_15h58.59.452,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 15h59.03.433150 -0400,
9,0,9,0,63.034209300007205,,,,,,,,,63.02101450000191,63.034209300007205,66.02106269996148,,,68.0081547999871,,devJG,01,01,2024-07-16_15h58.59.452,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 15h59.03.433150 -0400,
,,,,,,,,,,,,,,,,,,,"     timestamp     speed  distance direction
0    18.019585  0.000000  0.000000         0
1    18.082269  0.000000  0.000000         0
2    18.132537  0.000000  0.000000         0
3    18.185962  0.000000  0.000000         0
4    18.250997  0.000000  0.000000         0
..         ...       ...       ...       ...
845  67.692979 -0.316694 -0.373222         2
846  67.759058 -0.019017 -0.374479         2
847  67.826020  0.000000 -0.374479         0
848  67.876438 -0.037387 -0.376364         2
849  67.943119 -0.075383 -0.381390         2

[850 rows x 4 columns]",,,,,,,,,
