trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,key_resp.started,nidaqTrigger.stopped,key_resp.keys,key_resp.rt,key_resp.duration,display_gratings.started,stim_grayScreen.started,stim_grating.started,display_gratings.stopped,encoder_data,Protocol ID,Subject ID,Session ID,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.019079699995927513,0.03519979998236522,0.03519979998236522,6.32603149994975,left,6.274954800028354,None,,,,,,devJG,01,01,2024-07-16_16h02.21.328,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 16h02.25.331821 -0400,
0,0,0,0,6.342297899944242,,,,,,,,,6.3265416999929585,6.342297899944242,9.326052299991716,11.327970399986953,"    timestamp  speed  distance direction
0    7.275521    0.0       0.0         0
1    7.326045    0.0       0.0         0
2    7.377022    0.0       0.0         0
3    7.442916    0.0       0.0         0
4    7.495553    0.0       0.0         0
..        ...    ...       ...       ...
64  11.062211    0.0       0.0         0
65  11.128672    0.0       0.0         0
66  11.194407    0.0       0.0         0
67  11.244841    0.0       0.0         0
68  11.312650    0.0       0.0         0

[69 rows x 4 columns]",devJG,01,01,2024-07-16_16h02.21.328,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 16h02.25.331821 -0400,
1,0,1,0,11.342641700000968,,,,,,,,,11.328165299957618,11.342641700000968,14.329176099970937,16.33176370000001,"     timestamp  speed  distance direction
0     7.275521    0.0       0.0         0
1     7.326045    0.0       0.0         0
2     7.377022    0.0       0.0         0
3     7.442916    0.0       0.0         0
4     7.495553    0.0       0.0         0
..         ...    ...       ...       ...
151  16.065022    0.0       0.0         0
152  16.115081    0.0       0.0         0
153  16.165128    0.0       0.0         0
154  16.215693    0.0       0.0         0
155  16.266565    0.0       0.0         0

[156 rows x 4 columns]",devJG,01,01,2024-07-16_16h02.21.328,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 16h02.25.331821 -0400,
2,0,2,0,16.34658029995626,,,,,,,,,16.332009299949277,16.34658029995626,19.33451089996379,21.33604969998123,"     timestamp     speed  distance direction
0     7.275521  0.000000  0.000000         0
1     7.326045  0.000000  0.000000         0
2     7.377022  0.000000  0.000000         0
3     7.442916  0.000000  0.000000         0
4     7.495553  0.000000  0.000000         0
..         ...       ...       ...       ...
238  21.069046 -0.263734 -0.246930         2
239  21.135649 -0.377348 -0.272063         2
240  21.185844 -0.337978 -0.289027         2
241  21.252589 -0.178861 -0.300965         2
242  21.303738 -0.061421 -0.304107         2

[243 rows x 4 columns]",devJG,01,01,2024-07-16_16h02.21.328,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 16h02.25.331821 -0400,
3,0,3,0,21.35050829994725,,,,,,,,,21.336242699995637,21.35050829994725,24.33844769996358,26.32866889995057,"     timestamp  speed   distance direction
0     7.275521    0.0   0.000000         0
1     7.326045    0.0   0.000000         0
2     7.377022    0.0   0.000000         0
3     7.442916    0.0   0.000000         0
4     7.495553    0.0   0.000000         0
..         ...    ...        ...       ...
324  26.091303    0.0 -11.828752         0
325  26.141869    0.0 -11.828752         0
326  26.207889    0.0 -11.828752         0
327  26.258169    0.0 -11.828752         0
328  26.308625    0.0 -11.828752         0

[329 rows x 4 columns]",devJG,01,01,2024-07-16_16h02.21.328,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 16h02.25.331821 -0400,
4,0,4,0,26.33838609996019,,,,,,,,,26.329059699957725,26.33838609996019,29.343367199995555,31.329219899955206,"     timestamp     speed  distance direction
0     7.275521  0.000000  0.000000         0
1     7.326045  0.000000  0.000000         0
2     7.377022  0.000000  0.000000         0
3     7.442916  0.000000  0.000000         0
4     7.495553  0.000000  0.000000         0
..         ...       ...       ...       ...
409  31.063652  1.637651 -3.507911         1
410  31.129805  2.592937 -3.336379         1
411  31.195014  2.630518 -3.164848         1
412  31.245476  2.776634 -3.024732         1
413  31.296407  2.960794 -2.873936         1

[414 rows x 4 columns]",devJG,01,01,2024-07-16_16h02.21.328,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 16h02.25.331821 -0400,
5,0,5,0,31.342797499964945,,,,,,,,,31.329562599945348,31.342797499964945,34.32898049999494,36.333069499989506,"     timestamp     speed  distance direction
0     7.275521  0.000000  0.000000         0
1     7.326045  0.000000  0.000000         0
2     7.377022  0.000000  0.000000         0
3     7.442916  0.000000  0.000000         0
4     7.495553  0.000000  0.000000         0
..         ...       ...       ...       ...
493  36.050481 -9.200110 -4.746329         2
494  36.100511 -8.452031 -5.169189         2
495  36.165844 -6.289692 -5.580110         2
496  36.217041 -6.664032 -5.921288         2
497  36.283229 -3.635803 -6.161934         2

[498 rows x 4 columns]",devJG,01,01,2024-07-16_16h02.21.328,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 16h02.25.331821 -0400,
6,0,6,0,36.34625269996468,,,,,,,,,36.33337929996196,36.34625269996468,39.333236399979796,41.336799399985466,"     timestamp    speed   distance direction
0     7.275521  0.00000   0.000000         0
1     7.326045  0.00000   0.000000         0
2     7.377022  0.00000   0.000000         0
3     7.442916  0.00000   0.000000         0
4     7.495553  0.00000   0.000000         0
..         ...      ...        ...       ...
580  41.038109  0.00000 -15.674071         0
581  41.103525  0.00000 -15.674071         0
582  41.170071  0.00000 -15.674071         0
583  41.220169  0.00000 -15.674071         0
584  41.270410  2.03851 -15.571655         1

[585 rows x 4 columns]",devJG,01,01,2024-07-16_16h02.21.328,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 16h02.25.331821 -0400,
7,0,7,0,41.350511299970094,,,,,,,,,41.33710159995826,41.350511299970094,44.33694609999657,46.340832499961834,"     timestamp  speed  distance direction
0     7.275521    0.0  0.000000         0
1     7.326045    0.0  0.000000         0
2     7.377022    0.0  0.000000         0
3     7.442916    0.0  0.000000         0
4     7.495553    0.0  0.000000         0
..         ...    ...       ...       ...
664  46.073947    0.0 -3.074998         0
665  46.140711    0.0 -3.074998         0
666  46.190718    0.0 -3.074998         0
667  46.257648    0.0 -3.074998         0
668  46.324194    0.0 -3.074998         0

[669 rows x 4 columns]",devJG,01,01,2024-07-16_16h02.21.328,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 16h02.25.331821 -0400,
8,0,8,0,46.35438629996497,,,,,,,,,46.34115709998878,46.35438629996497,49.34097819996532,51.328092899988405,"     timestamp  speed   distance direction
0     7.275521    0.0   0.000000         0
1     7.326045    0.0   0.000000         0
2     7.377022    0.0   0.000000         0
3     7.442916    0.0   0.000000         0
4     7.495553    0.0   0.000000         0
..         ...    ...        ...       ...
749  51.028376    0.0 -18.271546         0
750  51.096127    0.0 -18.271546         0
751  51.161346    0.0 -18.271546         0
752  51.211389    0.0 -18.271546         0
753  51.262010    0.0 -18.271546         0

[754 rows x 4 columns]",devJG,01,01,2024-07-16_16h02.21.328,Gratings_vis_devJG_v0.4,2024.1.5,None,2024-07-16 16h02.25.331821 -0400,
