trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,nidaqTrigger.started,text_waiting_message.started,text_waiting_message.stopped,nidaqTrigger.stopped,display_gratings.started,stim_grayScreen.started,stim_grating.started,display_gratings.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.013881399994716048,27.06752390001202,27.06752390001202,27.051339199999347,,,,,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
0,0,0,0,27.06752390001202,,,,,,27.052462899999227,27.06752390001202,30.054582400014624,32.057162400044035,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
1,0,1,0,32.071898700029124,,,,,,32.05742389999796,32.071898700029124,35.058856300020125,37.06123039999511,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
2,0,2,0,37.07591750001302,,,,,,37.0614946000278,37.07591750001302,40.06247320002876,42.06524210004136,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
3,0,3,0,42.07988920004573,,,,,,42.0655107999919,42.07988920004573,45.06652230001055,47.05266580003081,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
4,0,4,0,47.06729100004304,,,,,,47.052974299993366,47.06729100004304,50.05428189999657,52.0565876000328,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
5,0,5,0,52.071424500027206,,,,,,52.05684380000457,52.071424500027206,55.0581058000098,57.06079459999455,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
6,0,6,0,57.07541740004672,,,,,,57.061057000013534,57.07541740004672,60.06191950000357,62.06470879999688,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
7,0,7,0,62.07940809999127,,,,,,62.06498040002771,62.07940809999127,65.06608449999476,67.05193790001795,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
8,0,8,0,67.06683740002336,,,,,,67.0522032000008,67.06683740002336,70.05355780001264,72.05593259999296,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
9,0,9,0,72.07084540004143,,,,,,72.05619090003893,72.07084540004143,75.05777260003379,77.06030900002224,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
10,0,10,0,77.07506050000666,,,,,,77.06056600000011,77.07506050000666,80.06187450001016,82.06555140001001,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
11,0,11,0,82.07884420000482,,,,,,82.06607699999586,82.07884420000482,85.06603980000364,87.05156420002459,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
12,0,12,0,87.06624030001694,,,,,,87.05182769999374,87.06624030001694,90.0531473000301,92.05722060002154,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
13,0,13,0,92.07056690001627,,,,,,92.05775969999377,92.07056690001627,95.05721800000174,97.06092000001809,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
14,0,14,0,97.07454000000143,,,,,,97.06144160003169,97.07454000000143,100.06115940003656,102.0636948000174,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
15,0,15,0,102.0784937000135,,,,,,102.06395590002649,102.0784937000135,105.06513760000234,107.06781640002737,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
16,0,16,0,107.08258039999055,,,,,,107.06808689999161,107.08258039999055,110.0526702000061,112.05516049999278,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
17,0,17,0,112.06993930001045,,,,,,112.05541930004256,112.06993930001045,115.05651560000842,117.0593732999987,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
18,0,18,0,117.07398640003521,,,,,,117.05963259999407,117.07398640003521,120.0608501000097,122.06320080003934,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
19,0,19,0,122.07782270002645,,,,,,122.06346580001991,122.07782270002645,125.06506570003694,127.06703680002829,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
20,0,20,0,127.08195810002508,,,,,,127.06729690002976,127.08195810002508,130.0521638999926,132.05460540001513,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
21,0,21,0,132.06939890002832,,,,,,132.05486820003716,132.06939890002832,135.05617500003427,137.05880210001487,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
22,0,22,0,137.07347790000495,,,,,,137.05906160001177,137.07347790000495,140.06015660002595,142.06269140000222,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
23,0,23,0,142.0774143000017,,,,,,142.0629528000136,142.0774143000017,145.06413320003776,147.0666870000423,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
24,0,24,0,147.0814794000471,,,,,,147.06695230002515,147.0814794000471,150.05138370004715,152.05411640001694,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
25,0,25,0,152.068900400016,,,,,,152.0543781000306,152.068900400016,155.05558770004427,157.05878270004177,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
26,0,26,0,157.07300620002206,,,,,,157.05904230003944,157.07300620002206,160.05945820000488,162.06218830001308,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
27,0,27,0,162.07696120004402,,,,,,162.06244770000922,162.07696120004402,165.06357800000114,167.0661611999967,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
28,0,28,0,167.08098450000398,,,,,,167.06641980004497,167.08098450000398,170.06772740004817,172.05380610004067,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
29,0,29,0,172.06842220004182,,,,,,172.05413210002007,172.06842220004182,175.05521730001783,177.05788189999294,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
30,0,30,0,177.0723471000092,,,,,,177.05814120004652,177.0723471000092,180.05929689999903,182.0616738999961,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
31,0,31,0,182.0764710000367,,,,,,182.06193720002193,182.0764710000367,185.0630718000466,187.0656805000035,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
32,0,32,0,187.08033910003724,,,,,,187.06593929999508,187.08033910003724,190.06719120003982,192.0531225000159,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
33,0,33,0,192.0679097000393,,,,,,192.05338140000822,192.0679097000393,195.05464750004467,197.05743460002122,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
34,0,34,0,197.07195470004808,,,,,,197.05769970000256,197.07195470004808,200.05870130000403,202.06261290004477,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
35,0,35,0,202.07589860004373,,,,,,202.06314560002647,202.07589860004373,205.06286900001578,207.0651429000427,188769,001,2024-07-03_20h11.03.127,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-03 20h11.10.786840 -0400,
