trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,buildGratings.started,buildGratings.stopped,grating_angle.expStartVal,display_gratings.started,stim_grating.started,stim_grating.stopped,stim_grayScreen.started,stim_grayScreen.stopped,display_gratings.stopped,grating_angle.endExpVal,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,0.018658499997400213,0.0188748999935342,0,,,,,,,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
0,0,0,0,0.03512609999597771,,,,,0.019328399997903034,0.03512609999597771,2.0535691999975825,2.0535691999975825,5.056868299994676,5.0403268999943975,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
1,0,1,0,5.056868299994676,,,,,5.040607799994177,5.056868299994676,7.057739999996556,7.057739999996556,10.061066599999322,10.044370399999025,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
2,0,2,0,10.061066599999322,,,,,10.04464249999728,10.061066599999322,12.061725199993816,12.061725199993816,15.06467299999349,15.048415599994769,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
3,0,3,0,15.06467299999349,,,,,15.048700399995141,15.06467299999349,17.0657843999943,17.0657843999943,20.06909689999884,20.052299099996162,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
4,0,4,0,20.06909689999884,,,,,20.052568399994925,20.06909689999884,22.069395699996676,22.069395699996676,25.073151299999154,25.056405899995298,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
5,0,5,0,25.073151299999154,,,,,25.05667039999389,25.073151299999154,27.073918399997638,27.073918399997638,30.07730509999965,30.06073969999852,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
6,0,6,0,30.07730509999965,,,,,30.061014899998554,30.07730509999965,32.07816929999535,32.07816929999535,35.081280499995046,35.06447709999338,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
7,0,7,0,35.081280499995046,,,,,35.064749199998914,35.081280499995046,37.08181209999748,37.08181209999748,40.084896099993784,40.06854259999818,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
8,0,8,0,40.084896099993784,,,,,40.068821499997284,40.084896099993784,42.085869799993816,42.085869799993816,45.089395699993474,45.07260580000002,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
9,0,9,0,45.089395699993474,,,,,45.072870899995905,45.089395699993474,47.090111599995,47.090111599995,50.093550399993546,50.07668989999365,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
10,0,10,0,50.093550399993546,,,,,50.076956099997915,50.093550399993546,52.094292199995834,52.094292199995834,55.09738490000018,55.08074089999718,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
11,0,11,0,55.09738490000018,,,,,55.081009199995606,55.09738490000018,57.09797629999957,57.09797629999957,60.10149259999889,60.08471060000011,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
12,0,12,0,60.10149259999889,,,,,60.08497829999396,60.10149259999889,62.102244800000335,62.102244800000335,65.1053763999953,65.09030019999773,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
13,0,13,0,65.1053763999953,,,,,65.09083349999855,65.1053763999953,67.10632869999972,67.10632869999972,70.10976699999446,70.09297529999458,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
14,0,14,0,70.10976699999446,,,,,70.09324299999571,70.10976699999446,72.11046859999624,72.11046859999624,75.11372399999527,75.09692539999378,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
15,0,15,0,75.11372399999527,,,,,75.0971955999994,75.11372399999527,77.11434699999518,77.11434699999518,80.11772509999719,80.10087709999789,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
16,0,16,0,80.11772509999719,,,,,80.10115170000063,80.11772509999719,82.11825159999717,82.11825159999717,85.12158729999646,85.10497809999652,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
17,0,17,0,85.12158729999646,,,,,85.10524710000027,85.12158729999646,87.12231669999892,87.12231669999892,90.12596679999842,90.10907790000056,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
18,0,18,0,90.12596679999842,,,,,90.10934319999797,90.12596679999842,92.12663629999588,92.12663629999588,95.12985109999863,95.11311029999342,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
19,0,19,0,95.12985109999863,,,,,95.11337599999388,95.12985109999863,97.13059659999999,97.13059659999999,100.1337222000002,100.11720329999662,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
20,0,20,0,100.1337222000002,,,,,100.1174749999991,100.1337222000002,102.1346121999959,102.1346121999959,105.13796960000036,105.12137969999458,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
21,0,21,0,105.13796960000036,,,,,105.12164499999926,105.13796960000036,107.13845429999492,107.13845429999492,110.14213960000052,110.12572989999899,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
22,0,22,0,110.14213960000052,,,,,110.12599499999487,110.14213960000052,112.14282079999975,112.14282079999975,115.14607849999447,115.12928749999992,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
23,0,23,0,115.14607849999447,,,,,115.129554799998,115.14607849999447,117.14658570000029,117.14658570000029,120.15007689999766,120.13336439999694,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
24,0,24,0,120.15007689999766,,,,,120.13363269999536,120.15007689999766,122.15077399999427,122.15077399999427,125.15416809999442,125.13741339999979,,855682,001,2024-06-28_12h31.53.487,Gratings_vis_stim_devJG_v0.2,2024.1.5,None,2024-06-28 12h31.57.802627 -0400,
