trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,display_gratings.started,stim_grating.started,stim_grating.stopped,stim_grayScreen.started,display_gratings.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.029417000012472272,,0.01381460000993684,0.029417000012472272,2.0298974000033922,2.0298974000033922,5.000423899968155,897634,001,2024-07-02_18h54.00.166,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h54.04.574440 -0400,
1,0,1,0,5.016849200008437,,5.00069670000812,5.016849200008437,7.017443499993533,7.017443499993533,10.005410499987192,897634,001,2024-07-02_18h54.00.166,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h54.04.574440 -0400,
2,0,2,0,10.02042309998069,,10.005968199984636,10.02042309998069,12.021579599997494,12.021579599997494,15.009829099988565,897634,001,2024-07-02_18h54.00.166,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h54.04.574440 -0400,
3,0,3,0,15.024835699994583,,15.010394899989478,15.024835699994583,17.025514899985865,17.025514899985865,20.012490599998273,897634,001,2024-07-02_18h54.00.166,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h54.04.574440 -0400,
4,0,4,0,20.028941399999894,,20.01275449997047,20.028941399999894,22.029543599986937,22.029543599986937,25.00155270000687,897634,001,2024-07-02_18h54.00.166,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h54.04.574440 -0400,
5,0,5,0,25.016457999998238,,25.00209869997343,25.016457999998238,27.0169326000032,27.0169326000032,30.005511299998034,897634,001,2024-07-02_18h54.00.166,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h54.04.574440 -0400,
6,0,6,0,30.02029869996477,,30.00611909996951,30.02029869996477,32.02101580001181,32.02101580001181,35.010170899971854,897634,001,2024-07-02_18h54.00.166,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h54.04.574440 -0400,
7,0,7,0,35.02436669997405,,35.01076649996685,35.02436669997405,37.02510219998658,37.02510219998658,40.013741399976425,897634,001,2024-07-02_18h54.00.166,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h54.04.574440 -0400,
8,0,8,0,40.028209700016305,,40.01427549996879,40.028209700016305,42.02897599997232,42.02897599997232,45.00096059998032,897634,001,2024-07-02_18h54.00.166,Gratings_vis_stim_devJG_v0.3,2024.1.5,None,2024-07-02 18h54.04.574440 -0400,
,,,,,,45.0014988000039,,,,,,,,,,,,
